MSOA_Code,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other
E02002985,364821,168436,2510,428,269,697,450,67,13,36,49,234,267
E02002986,364987,167808,2293,416,231,651,481,59,18,24,44,181,188
E02002987,366135,167644,2531,377,186,926,399,79,14,23,58,287,182
E02002988,375978,166730,2774,550,794,96,464,99,31,60,109,353,218
E02002989,372820,166647,2456,607,656,138,333,59,22,62,68,312,199
E02002990,375551,166008,3245,1076,559,72,509,107,21,74,126,452,249
E02002991,374937,165497,5205,1973,673,125,702,151,41,107,281,851,301
E02002992,372638,165432,2942,652,820,123,489,85,20,47,101,411,194
E02002993,374225,165125,2842,1139,375,58,371,93,22,69,112,386,217
E02002994,377748,166270,4786,308,1078,768,525,323,48,86,215,1009,426
E02002995,372156,164464,2282,569,867,157,256,49,14,20,38,113,199
E02002996,375707,164421,3935,1313,545,104,489,158,27,78,275,689,257
E02002997,373390,164386,2941,1108,605,80,418,84,23,51,130,234,208
E02002998,373790,163907,2611,924,619,85,346,70,15,49,82,217,204
E02002999,372644,163651,2645,535,1011,145,359,74,10,33,52,166,260
E02003000,367621,165151,4466,284,418,1238,1066,170,28,44,145,688,385
E02003001,374537,163376,2692,603,679,91,420,112,17,55,123,423,169
E02003002,375477,162509,2342,377,820,119,273,151,19,34,82,302,165
E02003003,373529,162286,2916,304,1306,176,372,123,20,49,60,253,253
E02003004,361869,161617,3232,182,298,594,999,151,20,41,97,525,325
E02003005,357289,159912,3044,198,184,382,987,195,39,24,109,637,289
E02003006,370569,157582,4516,247,401,1743,631,266,35,52,132,566,443
E02003007,364946,156541,4193,411,695,322,1497,278,44,38,93,428,387
E02003008,369302,154978,2783,338,457,255,918,200,29,23,56,242,265
E02003009,366404,154763,3065,787,372,116,946,214,35,31,60,247,257
E02003010,367683,154104,3159,904,376,160,922,228,44,20,55,207,243
E02003011,365849,153754,2452,642,364,106,662,171,39,16,35,211,206
E02003012,357024,179173,4803,611,1318,1471,322,72,53,55,160,357,384
E02003013,358503,178511,5117,1108,1288,1456,241,78,41,31,175,301,398
E02003014,354267,178125,3105,505,860,1010,226,36,18,17,73,149,211
E02003015,359109,177401,2704,510,935,522,124,41,33,27,90,216,206
E02003016,360245,177568,3694,679,1248,822,182,38,74,50,112,200,289
E02003017,357531,177233,2911,376,1023,518,146,53,52,54,134,389,166
E02003018,355100,177122,2674,239,814,853,144,39,26,24,92,229,214
E02003019,352790,177040,4714,955,828,1635,414,75,27,35,118,307,320
E02003020,356722,176904,2777,277,904,627,120,57,46,56,138,377,175
E02003021,359685,176667,3832,501,1733,522,196,40,50,69,140,316,265
E02003022,358198,176626,2756,427,1042,376,129,54,44,52,113,351,168
E02003023,362441,176494,2819,507,868,590,147,40,20,50,104,239,254
E02003024,363660,176195,3781,657,833,1140,240,50,40,83,141,283,314
E02003025,360674,176188,2937,465,1203,475,144,25,18,33,71,204,299
E02003026,356148,175835,3713,266,1386,641,137,86,52,62,202,638,243
E02003027,359252,175828,6873,871,3108,798,314,85,117,128,252,761,439
E02003028,357803,175544,4536,773,1641,594,230,79,60,99,216,613,231
E02003029,364160,175312,2624,481,560,863,177,23,18,27,59,163,253
E02003030,362174,175133,3577,480,1543,531,217,30,26,66,84,274,326
E02003031,359010,174950,5909,1569,1836,701,259,63,95,95,228,650,413
E02003032,363428,174826,3645,572,1176,819,260,46,29,64,99,236,344
E02003033,357980,174377,4696,1777,829,617,191,75,67,96,240,502,302
E02003034,359598,174263,6281,2267,1353,654,318,66,71,92,188,632,640
E02003036,358805,174048,4341,1954,580,514,190,56,80,75,197,376,319
E02003037,357457,173947,5141,1798,960,617,295,105,99,86,277,579,325
E02003038,363941,173897,3330,499,935,870,302,40,11,43,85,248,297
E02003039,362894,173827,3832,543,1514,671,306,43,28,39,104,265,319
E02003040,361562,173500,4977,822,2049,674,366,65,28,69,138,296,470
E02003041,356978,173197,3616,1209,709,406,225,71,57,58,201,488,192
E02003043,358347,172968,5194,2499,484,558,285,75,55,96,262,502,378
E02003044,363413,172871,3252,457,1133,605,349,39,31,30,84,240,284
E02003045,357347,172711,3702,1363,585,379,230,70,57,74,172,482,290
E02003046,361920,172095,5327,902,2131,669,547,85,45,60,142,362,384
E02003047,357728,171727,5949,2086,1363,699,471,102,69,88,182,494,395
E02003048,359883,171484,4044,1137,1197,360,392,64,37,79,127,353,298
E02003049,362309,171210,3632,653,1289,505,392,35,26,38,101,281,312
E02003050,358196,171099,5016,1548,1409,621,443,79,46,52,141,322,355
E02003051,358912,171031,3703,981,1196,354,348,65,47,54,94,270,294
E02003052,357450,171006,3672,807,1247,501,319,56,29,51,89,284,289
E02003053,360606,170753,4196,562,1664,470,437,60,41,69,104,417,372
E02003054,361609,170630,3528,591,1362,434,342,44,34,37,105,284,295
E02003055,359749,170062,3239,613,1343,320,367,33,7,21,73,168,294
E02003056,358894,169653,2764,518,1172,308,324,30,6,11,44,120,231
E02003057,357138,169542,2909,520,942,465,310,42,27,22,58,225,298
E02003058,360360,169044,4255,652,1606,615,524,60,16,31,90,245,416
E02003059,357586,168789,2508,430,772,416,311,45,10,10,45,170,299
E02003060,361918,168635,5081,626,1367,1234,710,94,26,48,124,394,458
E02003061,356560,168052,2308,298,508,697,350,30,9,9,42,137,228
E02003062,357636,167811,2116,334,502,563,325,26,8,6,37,106,209
E02003063,360224,167564,3633,478,795,1079,476,51,15,21,96,276,346
E02003064,358557,167488,2165,384,516,535,306,16,7,9,39,111,242
E02006887,359667,173076,3374,1652,373,403,227,25,30,57,158,213,236
E02006888,360741,173996,2457,634,853,251,106,20,11,24,72,226,260
E02006889,360675,173287,2378,793,600,288,162,28,13,12,70,176,236
E02006890,361173,174515,3878,630,1557,435,221,41,29,64,74,344,483
E02003065,346633,176665,4505,881,252,511,1442,213,35,72,209,495,395
E02003066,344660,175792,2920,328,322,383,967,106,30,34,147,406,197
E02003067,347288,175981,3831,705,295,448,1255,182,30,67,142,418,289
E02003068,352421,175661,2980,352,480,922,310,118,22,26,111,389,250
E02003069,341077,171984,2563,482,111,256,690,199,47,23,104,425,226
E02003070,351963,171417,6122,378,784,1598,1251,255,69,70,290,958,469
