MSOA_Code,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
E02002985,364821,168436,2509,487,453,454,334,76,25,23,164,234,259,39355,20
E02002986,364987,167808,1932,379,281,447,333,83,17,11,17,181,183,14426,9
E02002987,366135,167644,2138,364,351,491,313,72,22,27,39,287,172,17485,10
E02002988,375978,166730,1321,250,177,77,181,30,9,8,23,353,213,9529,13
E02002989,372820,166647,1040,174,144,63,104,20,6,11,14,312,192,5969,11
E02002990,375551,166008,1421,212,195,75,180,28,10,16,15,452,238,8171,11
E02002991,374937,165497,19731,4692,4282,1758,5523,907,281,452,702,851,283,260485,14
E02002992,372638,165432,7180,1449,1289,958,2188,384,97,115,100,411,189,76972,12
E02002993,374225,165125,5644,1471,964,524,1510,225,90,117,153,386,204,64546,13
E02002994,377748,166270,3166,291,343,473,443,103,27,21,54,1009,402,23379,13
E02002995,372156,164464,1947,451,267,223,520,95,23,33,26,113,196,17950,11
E02002996,375707,164421,10581,1427,2519,907,2262,453,119,185,1787,689,233,393673,41
E02002997,373390,164386,1331,313,136,122,244,46,14,13,8,234,201,8366,9
E02002998,373790,163907,1206,354,120,86,167,22,8,12,18,217,202,7612,10
E02002999,372644,163651,717,135,47,50,48,7,3,4,5,166,252,2325,8
E02003000,367621,165151,2764,279,322,573,365,89,22,26,34,688,366,19814,12
E02003001,374537,163376,2183,397,305,260,505,76,15,15,21,423,166,15972,10
E02003002,375477,162509,2518,238,509,330,572,149,64,88,110,302,156,32532,16
E02003003,373529,162286,1201,196,128,117,197,34,9,7,12,253,248,7240,10
E02003004,361869,161617,2126,259,247,327,319,58,20,13,38,525,320,15493,12
E02003005,357289,159912,2381,198,253,375,484,93,11,17,33,637,280,19048,13
E02003006,370569,157582,2917,240,431,495,426,122,38,60,105,566,434,30699,16
E02003007,364946,156541,2761,515,508,216,471,176,23,18,28,428,378,20077,10
