FID_,OBJECTID,OA11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,other,Total_km,Average_km
,1,E00073026,366555.059000000010000,158593.840000000000000,84,4,8,12,35,3,0,1,3,11,7,1148.500000000000000,17.399999999999999
,2,E00073116,372901.401000000010000,166365.500000000000000,126,34,40,4,15,2,1,3,3,19,5,1012.200000000000000,9.900000000000000
,3,E00073027,366892.308000000020000,158614.246000000010000,152,9,9,30,52,6,1,3,8,21,13,2260.000000000000000,19.199999999999999
,4,E00073117,373592.117000000030000,165963.554999999990000,109,36,15,2,11,6,0,3,3,27,6,1086.800000000000000,14.300000000000001
,5,E00073024,366857.128000000030000,158840.488000000010000,87,9,10,25,29,1,1,0,1,5,6,779.100000000000020,10.300000000000001
,6,E00073114,373329.511999999990000,166210.897000000000000,81,18,18,4,15,0,0,1,5,12,8,1225.599999999999900,20.100000000000001
,7,E00073025,367382.767999999980000,158825.331999999990000,188,20,20,45,40,8,1,2,3,25,24,1660.400000000000100,11.900000000000000
,8,E00073115,373800.704000000030000,165886.647000000000000,136,47,16,6,15,7,2,6,8,19,10,2070.000000000000000,19.300000000000001
,9,E00073022,366101.299999999990000,158827.717999999990000,68,1,6,14,17,3,0,0,1,18,8,902.399999999999980,21.500000000000000
,10,E00073112,372730.101000000020000,166393.766000000000000,96,32,19,2,9,2,1,1,3,10,17,889.500000000000000,12.900000000000000
,11,E00073023,367156.467999999990000,158944.078000000010000,168,15,22,52,33,14,0,2,4,15,11,1890.900000000000100,13.300000000000001
,12,E00073113,373224.636999999990000,166409.000999999990000,131,30,32,5,23,5,0,3,4,23,6,1395.300000000000000,13.699999999999999
,13,E00073020,366624.870999999980000,158471.073000000000000,91,3,9,25,28,7,0,0,4,9,6,1291.700000000000000,17.000000000000000
,14,E00073110,372576.256999999980000,166564.111999999990000,144,40,38,3,15,4,2,3,4,28,7,1194.700000000000000,11.000000000000000
,15,E00073021,366800.579000000030000,159190.712000000000000,132,7,10,42,30,9,1,1,2,16,14,1230.300000000000000,12.100000000000000
,16,E00073111,372825.987000000020000,166540.943000000000000,114,38,31,9,13,1,2,1,1,10,8,609.500000000000000,6.300000000000000
,17,E00072936,365184.783000000000000,156046.109999999990000,130,27,27,8,45,6,0,0,1,8,8,1347.300000000000000,11.800000000000001
