FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047117,359331.000000000000000,172449.000000000000000,695,114,220,148,90,33,32,30,28,0,0,9089.600000000000400,13.100000000000000
,E33047083,358267.000000000000000,172797.000000000000000,1622,184,539,566,167,72,39,26,29,0,0,17116.500000000000000,10.600000000000000
,E33047164,359264.000000000000000,172594.000000000000000,517,59,148,109,80,44,12,29,36,0,0,9352.399999999999600,18.100000000000001
,E33045606,359589.000000000000000,172594.000000000000000,987,124,288,242,149,63,39,41,41,0,0,13931.299999999999000,14.100000000000000
,E33047120,360204.000000000000000,173429.000000000000000,597,57,204,151,71,30,21,20,43,0,0,10758.600000000000000,18.000000000000000
,E33045468,375127.000000000000000,164839.000000000000000,710,107,159,62,282,40,21,16,23,0,0,10470.500000000000000,14.699999999999999
,E33047466,358301.973000000000000,173671.155000000000000,299,66,76,61,31,7,1,1,7,25,24,2336.800000000000200,9.300000000000001
,E33047467,363353.770000000020000,172660.473999999990000,479,137,40,26,10,4,1,3,1,118,139,1003.100000000000000,4.500000000000000
,E33047464,357850.604999999980000,173640.288999999990000,1232,361,366,151,129,55,24,29,66,30,21,16333.400000000000000,13.800000000000001
,E33047465,357848.963999999980000,172221.803000000010000,728,178,219,114,85,39,16,10,23,30,14,8669.000000000000000,12.699999999999999
,E33047462,358048.641000000000000,172824.307999999990000,1588,271,344,294,237,118,86,93,110,26,9,32540.200000000001000,21.000000000000000
,E33047463,358684.739999999990000,173548.959999999990000,4843,888,1783,1157,576,202,65,68,78,16,10,43367.099999999999000,9.000000000000000
,E33047460,358200.055999999980000,172605.184000000010000,699,109,223,143,85,40,26,25,18,15,15,8645.700000000000700,12.900000000000000
,E33047461,357662.603000000000000,172308.524999999990000,237,38,58,39,27,2,1,2,9,32,29,2295.900000000000100,13.000000000000000
,E33047676,349721.360999999980000,158615.043999999990000,805,34,22,66,444,91,29,18,10,59,32,12938.400000000000000,18.100000000000001
,E33047677,345192.356000000030000,161113.652000000000000,603,26,35,113,267,25,6,2,2,87,40,6058.500000000000000,12.699999999999999
